generator,Capacity_MW
cats_677,1.8
cats_678,2.3
cats_679,20.5
cats_680,19.8
cats_681,6.6
cats_682,6.6
cats_683,6.6
cats_684,6.6
cats_685,1.5
cats_686,1.5
cats_687,95.0
cats_688,95.0
cats_689,11.3
cats_690,10.8
cats_691,5.9
cats_692,7.2
cats_693,3.1
cats_694,7.5
cats_695,7.5
cats_696,8.6
cats_697,78.4
cats_698,78.4
cats_699,50.0
cats_700,50.0
cats_701,39.5
cats_702,39.5
cats_703,36.5
cats_704,5.0
cats_705,5.0
cats_706,4.8
cats_707,4.4
cats_708,10.0
cats_709,9.6
cats_710,16.5
cats_711,16.5
cats_712,3.2
cats_713,37.5
cats_714,8.8
cats_715,37.5
cats_716,3.2
cats_717,2.8
cats_718,37.5
cats_719,94.5
cats_720,9.0
cats_721,44.0
cats_722,27.3
cats_723,10.0
cats_724,72.0
cats_725,11.7
cats_726,11.7
cats_727,6.5
cats_728,41.9
cats_729,10.0
cats_730,67.2
cats_731,15.3
cats_732,61.2
cats_733,61.2
cats_734,6.1
cats_735,79.2
cats_736,2.7
cats_737,78.9
cats_738,78.9
cats_739,80.8
cats_740,80.8
cats_741,74.1
cats_742,25.5
cats_743,133.0
cats_744,133.0
cats_745,2.7
cats_746,59.8
cats_747,59.8
cats_748,78.3
cats_749,78.3
cats_750,117.0
cats_751,117.0
cats_752,117.0
cats_753,32.6
cats_754,45.5
cats_755,45.5
cats_756,45.5
cats_757,34.3
cats_758,1.2
cats_759,3.3
cats_760,66.2
cats_761,66.2
cats_762,66.2
cats_763,77.2
cats_764,77.2
cats_765,39.0
cats_766,39.0
cats_767,39.0
cats_768,6.7
cats_769,6.7
cats_770,142.0
cats_771,142.0
cats_772,142.0
cats_773,142.0
cats_774,142.0
cats_775,2.0
cats_776,2.0
cats_777,30.0
cats_778,30.0
cats_779,30.0
cats_780,30.0
cats_781,90.0
cats_782,90.0
cats_783,70.0
cats_784,70.0
cats_785,157.5
cats_786,157.5
cats_787,46.7
cats_788,0.7
cats_789,0.7
cats_790,2.9
cats_791,2.9
cats_792,1.9
cats_793,5.9
cats_794,4.1
cats_795,4.4
cats_796,7.2
cats_797,10.0
cats_798,3.6
cats_799,3.6
cats_800,3.6
cats_801,1.9
cats_802,1.9
cats_803,1.9
cats_804,2.4
cats_805,12.7
cats_806,139.5
cats_807,1.8
cats_808,12.1
cats_809,1.0
cats_810,0.5
cats_811,0.5
cats_812,0.5
cats_813,19.6
cats_814,150.0
cats_815,150.0
cats_816,37.1
cats_817,37.1
cats_818,22.5
cats_819,9.9
cats_820,10.6
cats_821,22.5
cats_822,18.0
cats_823,38.6
cats_824,4.9
cats_825,9.9
cats_826,5.1
cats_827,3.0
cats_828,0.6
cats_829,10.9
cats_830,10.9
cats_831,10.9
cats_832,3.4
cats_833,1.0
cats_834,1.0
cats_835,1.0
cats_836,2.5
cats_837,2.5
cats_838,3.5
cats_839,6.1
cats_840,1.0
cats_841,2.5
cats_842,5.0
cats_843,5.0
cats_844,1.5
cats_845,55.0
cats_846,55.0
cats_847,55.0
cats_848,3.3
cats_849,3.3
cats_850,3.3
cats_851,3.3
cats_852,3.3
cats_853,3.3
cats_854,3.3
cats_855,3.3
cats_856,3.3
cats_857,1.0
cats_858,1.0
cats_859,5.9
cats_860,5.9
cats_861,5.0
cats_862,5.0
cats_863,5.0
cats_864,29.9
cats_865,3.0
cats_866,5.0
cats_867,1.1
cats_868,1.1
cats_869,1.8
cats_870,2.0
cats_871,6.8
cats_872,3.2
cats_873,2.5
cats_874,2.5
cats_875,5.0
cats_876,5.3
cats_877,1.2
cats_878,2.1
cats_879,14.5
cats_880,4.0
cats_881,0.4
cats_882,1.2
cats_883,18.4
cats_884,9.8
cats_885,2.4
cats_886,6.9
cats_887,16.2
cats_888,3.6
cats_889,2.0
cats_890,1.0
cats_891,1.5
cats_892,1.5
cats_893,4.2
cats_894,3.9
cats_895,1.1
cats_896,1.3
cats_897,20.1
cats_898,2.7
cats_899,2.7
cats_900,0.5
cats_901,126.5
cats_902,126.5
cats_903,2.6
cats_904,1.0
cats_905,2.2
cats_906,2.2
cats_907,1.4
cats_908,0.1
cats_909,0.3
cats_910,0.3
cats_911,0.3
cats_912,0.4
cats_1989,27.5
cats_1990,27.5
cats_1991,1159.0
cats_1992,1164.0
cats_1993,110.0
cats_1994,110.0
cats_1995,138.0
cats_1996,113.0
cats_1997,118.0
cats_1998,118.0
cats_1999,118.0
cats_2000,118.0
cats_2001,55.0
cats_2002,55.0
cats_2003,55.0
cats_2004,55.0
cats_2005,78.0
cats_2006,55.0
cats_2007,55.0
cats_2008,55.0
cats_2009,5.0
cats_2010,5.0
cats_2011,5.0
cats_2012,5.0
cats_2013,5.0
cats_2014,5.0
cats_2015,5.0
cats_2016,5.0
cats_2017,45.5
cats_2018,45.5
cats_2019,45.5
cats_2020,53.9
cats_2021,32.2
cats_2022,30.0
cats_2023,30.0
cats_2024,30.0
cats_2025,30.0
cats_2026,30.0
cats_2027,30.0
cats_2028,30.0
cats_2029,30.0
cats_2030,10.0
cats_2031,11.5
cats_2032,5.0
cats_2033,3.5
cats_2034,88.2
cats_2035,88.2
cats_2036,30.1
cats_2037,9.5
cats_2038,12.5
cats_2039,12.5
cats_2040,16.0
cats_2041,16.0
cats_2042,26.5
cats_2043,16.0
cats_2044,52.0
cats_2045,7.0
cats_2046,3.5
cats_2047,19.0
cats_2048,47.5
cats_2049,58.3
cats_2050,11.5
cats_2051,16.0
cats_2052,16.0
cats_2053,16.0
cats_2054,16.0
cats_2055,16.0
cats_2056,55.0
cats_2057,44.4
cats_2058,1.2
cats_2059,1.2
cats_2060,3.0
cats_2061,1.6
cats_2062,1.1
cats_2063,1.0
cats_2064,1.4
cats_2065,1.0
cats_2066,1.0
cats_2067,1.0
cats_2068,6.8
cats_2069,1.1
cats_2070,0.6
cats_2071,0.6
cats_2072,0.9
cats_2073,0.9
cats_2074,1.6
cats_2075,1.6
cats_2076,1.6
cats_2077,1.6
