name,bus_type,kron_removable_bus,base_voltage_kV,base_power_MVA
699,PV,false,66.0,100.0
700,PV,false,66.0,100.0
701,PQ,false,66.0,100.0
702,PQ,false,66.0,100.0
703,PQ,false,66.0,100.0
704,PQ,false,66.0,100.0
705,PQ,false,66.0,100.0
706,PV,false,66.0,100.0
707,PV,false,66.0,100.0
708,PQ,false,66.0,100.0
709,PQ,false,66.0,100.0
710,PQ,false,66.0,100.0
711,PQ,false,66.0,100.0
712,PQ,false,66.0,100.0
713,PV,false,66.0,100.0
714,PV,false,66.0,100.0
715,PV,false,66.0,100.0
716,PQ,false,66.0,100.0
717,PQ,false,66.0,100.0
718,PQ,false,66.0,100.0
719,PQ,false,66.0,100.0
720,PQ,false,66.0,100.0
721,PQ,false,66.0,100.0
722,PQ,false,66.0,100.0
723,PQ,false,66.0,100.0
724,PQ,false,66.0,100.0
725,PQ,false,66.0,100.0
726,PQ,false,66.0,100.0
727,PQ,false,66.0,100.0
728,PQ,false,66.0,100.0
729,PQ,false,66.0,100.0
730,PQ,false,66.0,100.0
731,PQ,false,115.0,100.0
732,PQ,false,115.0,100.0
733,PQ,false,115.0,100.0
734,PQ,false,115.0,100.0
735,PQ,false,66.0,100.0
736,PQ,false,66.0,100.0
737,PQ,false,66.0,100.0
738,PQ,false,66.0,100.0
739,PQ,false,66.0,100.0
740,PQ,false,66.0,100.0
741,PQ,false,66.0,100.0
742,PQ,false,66.0,100.0
743,PQ,false,115.0,100.0
744,PV,false,66.0,100.0
745,PV,false,115.0,100.0
746,PV,false,66.0,100.0
747,PQ,false,66.0,100.0
748,PQ,false,66.0,100.0
749,PV,false,66.0,100.0
750,PQ,false,115.0,100.0
751,PV,false,66.0,100.0
752,PQ,false,66.0,100.0
753,PQ,false,66.0,100.0
754,PQ,false,66.0,100.0
755,PQ,false,66.0,100.0
756,PQ,false,66.0,100.0
757,PQ,false,66.0,100.0
758,PQ,false,66.0,100.0
759,PQ,false,66.0,100.0
760,PQ,false,66.0,100.0
761,PQ,false,66.0,100.0
762,PQ,false,66.0,100.0
763,PQ,false,66.0,100.0
764,PQ,false,66.0,100.0
765,PQ,false,66.0,100.0
766,PQ,false,66.0,100.0
767,PQ,false,66.0,100.0
768,PQ,false,66.0,100.0
769,PQ,false,66.0,100.0
770,PQ,false,115.0,100.0
771,PQ,false,115.0,100.0
772,PQ,false,115.0,100.0
773,PQ,false,66.0,100.0
774,PV,false,115.0,100.0
775,PV,false,115.0,100.0
776,PQ,false,115.0,100.0
777,PQ,false,115.0,100.0
778,PQ,false,115.0,100.0
779,PV,false,115.0,100.0
780,PQ,false,230.0,100.0
781,PV,false,66.0,100.0
782,PV,false,115.0,100.0
783,PQ,false,66.0,100.0
784,PQ,false,115.0,100.0
785,PQ,false,115.0,100.0
786,PQ,false,66.0,100.0
787,PQ,false,115.0,100.0
788,PQ,false,66.0,100.0
789,PQ,false,115.0,100.0
790,PQ,false,66.0,100.0
791,PQ,false,66.0,100.0
792,PQ,false,115.0,100.0
793,PQ,false,115.0,100.0
794,PQ,false,115.0,100.0
795,PQ,false,66.0,100.0
796,PV,false,115.0,100.0
797,PQ,false,66.0,100.0
798,PQ,false,115.0,100.0
799,PV,false,66.0,100.0
800,PQ,false,66.0,100.0
801,PQ,false,115.0,100.0
802,PQ,false,115.0,100.0
803,PV,false,115.0,100.0
804,PQ,false,115.0,100.0
805,PQ,false,115.0,100.0
806,PV,false,115.0,100.0
807,PQ,false,115.0,100.0
808,PQ,false,66.0,100.0
809,PQ,false,115.0,100.0
810,PQ,false,115.0,100.0
811,PQ,false,115.0,100.0
812,PV,false,115.0,100.0
813,PQ,false,115.0,100.0
814,PV,false,115.0,100.0
815,PQ,false,115.0,100.0
816,PQ,false,115.0,100.0
817,PQ,false,66.0,100.0
818,PV,false,66.0,100.0
819,PQ,false,66.0,100.0
820,PQ,false,66.0,100.0
821,PQ,false,66.0,100.0
822,PQ,false,66.0,100.0
823,PQ,false,66.0,100.0
824,PQ,false,66.0,100.0
825,PQ,false,66.0,100.0
826,PQ,false,66.0,100.0
827,PQ,false,66.0,100.0
828,PQ,false,66.0,100.0
829,PQ,false,66.0,100.0
830,PQ,false,66.0,100.0
831,PQ,false,66.0,100.0
832,PQ,false,66.0,100.0
833,PQ,false,66.0,100.0
834,PQ,false,66.0,100.0
835,PQ,false,66.0,100.0
836,PQ,false,66.0,100.0
837,PQ,false,66.0,100.0
838,PV,false,66.0,100.0
839,PV,false,66.0,100.0
840,PQ,false,66.0,100.0
841,PQ,false,66.0,100.0
842,PQ,false,66.0,100.0
843,PQ,false,66.0,100.0
844,PQ,false,66.0,100.0
845,PQ,false,115.0,100.0
846,PQ,false,66.0,100.0
847,PQ,false,66.0,100.0
848,PQ,false,66.0,100.0
849,PQ,false,66.0,100.0
850,PQ,false,66.0,100.0
851,PQ,false,66.0,100.0
852,PQ,false,66.0,100.0
853,PQ,false,66.0,100.0
854,PQ,false,66.0,100.0
855,PQ,false,66.0,100.0
856,PQ,false,66.0,100.0
857,PQ,false,66.0,100.0
858,PQ,false,66.0,100.0
859,PV,false,66.0,100.0
860,PQ,false,66.0,100.0
861,PQ,false,66.0,100.0
862,PQ,false,66.0,100.0
863,PQ,false,66.0,100.0
864,PQ,false,115.0,100.0
865,PQ,false,66.0,100.0
866,PQ,false,66.0,100.0
867,PQ,false,66.0,100.0
868,PQ,false,66.0,100.0
869,PQ,false,66.0,100.0
870,PQ,false,66.0,100.0
871,PQ,false,66.0,100.0
872,PQ,false,66.0,100.0
873,PQ,false,66.0,100.0
874,PQ,false,66.0,100.0
875,PQ,false,66.0,100.0
