timepoint,site,capacity_factor,technology,scenario
2035-01-01T00:00:00.000000-0800,pvu324,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu325,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu326,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu327,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu328,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu329,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu330,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu331,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu332,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu333,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu334,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu335,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu336,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu337,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu338,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu339,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu340,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu341,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu342,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu343,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu344,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu345,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu346,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu347,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu348,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu349,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu350,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu351,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu352,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu353,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu354,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu355,0,solar photovoltaic,sc1
